label,x,y
2021-03-06 11:00:00 || Modern Political Thought: 16 || Visualization: 11 || Food: 7 ||,-3.09808988,0.37717839
2021-03-06 12:00:00 || Modern Political Thought: 1 || Visualization: 13 || Photography: 25 || Social: 15 ||,20.59323277,4.669123514
2021-03-06 13:00:00 || Visualization: 18 || General Non-Productive: 3 || Photography: 54 ||,46.82267598,-12.42490027
2021-03-06 14:00:00 || Food: 7 || Photography: 9 || Social: 23 ||,4.950584197,13.86668854
2021-03-06 15:00:00 || Visualization: 22 || General Non-Productive: 1 || Photography: 71 ||,62.6556419,-16.43218772
2021-03-06 17:00:00 || Visualization: 3 || Photography: 29 ||,23.21040475,-6.921399881
2021-03-06 18:00:00 || Photography: 47 || Social: 60 ||,40.60106658,30.46819824
2021-03-06 22:00:00 || General Non-Productive: 10 ||,-3.865605699,0.279848456
2021-03-06 23:00:00 || Food: 53 || General Non-Productive: 1 || Photography: 1 || Watching Movies: 14 ||,-5.521413244,0.705654988
2021-04-06 00:00:00 || General Non-Productive: 20 || Photography: 17 || Watching Movies: 2 ||,10.99401795,-3.39296668
2021-04-06 01:00:00 || Watching Movies: 27 || Sleep: 60 ||,-4.226326236,0.066826923
2021-04-06 08:00:00 || Watching Movies: 15 ||,-3.653743744,-0.090871433
2021-04-06 09:00:00 || Watching Movies: 23 || Cleaning: 60 ||,-3.995151651,-0.131304581
2021-04-06 12:00:00 || General Non-Productive: 1 ||,-3.386797618,-0.053483138
2021-04-06 14:00:00 || General Non-Productive: 8 || Photography: 13 ||,8.043510551,-2.886035661
2021-04-06 15:00:00 || General Non-Productive: 16 || Photography: 70 ||,59.37401967,-16.12453177
2021-04-06 16:00:00 || Photography: 60 ||,51.14622292,-14.33880555
2021-04-06 18:00:00 ||,-3.33359672,-0.090519982
2021-04-06 19:00:00 || Watching Movies: 60 ||,-4.602678959,-0.048708349
2021-04-06 21:00:00 ||,-3.33359672,-0.090519982
2021-04-06 22:00:00 || Photography: 1 ||,-2.425695608,-0.328351554
2021-04-06 23:00:00 || Photography: 73 ||,62.9546903,-17.40900726
2021-05-06 01:00:00 || General Non-Productive: 5 || Photography: 12 ||,7.295212132,-2.759314621
2021-05-06 04:00:00 || General Non-Productive: 4 ||,-3.546400311,0.057627393
2021-05-06 09:00:00 || General Non-Productive: 18 || Photography: 1 ||,-3.38331177,0.338311635
2021-05-06 10:00:00 ||,-3.33359672,-0.090519982
2021-05-06 11:00:00 || Modern Political Thought: 15 || General Non-Productive: 4 || Photography: 4 ||,-0.092892569,-0.806402952
2021-05-06 12:00:00 || General Non-Productive: 11 || Photography: 9 ||,4.25230341,-1.823598843
2021-05-06 13:00:00 || Food: 60 || General Non-Productive: 2 ||,-6.540335605,1.134178709
2021-05-06 14:00:00 || General Non-Productive: 20 ||,-4.397614677,0.650216895
2021-05-06 15:00:00 || Modern Political Thought: 60 || General Non-Productive: 20 ||,-5.10424857,1.021009375
2021-05-06 17:00:00 || General Non-Productive: 3 ||,-3.493199414,0.020590549
2021-05-06 19:00:00 || Photography: 60 ||,51.14622292,-14.33880555
2021-06-06 00:00:00 || General Non-Productive: 32 ||,-5.036025452,1.094659021
2021-06-06 09:00:00 || General Non-Productive: 22 ||,-4.504016473,0.724290582
2021-06-06 10:00:00 || Modern Political Thought: 33 || General Non-Productive: 19 || Photography: 2 ||,-2.920424307,0.329567977
2021-06-06 11:00:00 || Modern Political Thought: 3 || Visualization: 10 || General Non-Productive: 6 || Photography: 37 ||,30.62015044,-8.429822297
2021-06-06 12:00:00 || Modern Political Thought: 17 || Visualization: 2 || Food: 25 || General Non-Productive: 3 ||,-4.846000369,0.634106517
2021-06-06 13:00:00 || Modern Political Thought: 51 || General Non-Productive: 14 || Photography: 2 || Listening to Music: 1 ||,-2.876378751,0.307874224
2021-06-06 14:00:00 || General Non-Productive: 5 ||,-3.599601209,0.094664237
2021-06-06 15:00:00 || Modern Political Thought: 28 || General Non-Productive: 1 ||,-3.719244801,0.109469284
2021-06-06 16:00:00 || Modern Political Thought: 20 || General Non-Productive: 1 || Photography: 16 || Social: 23 ||,11.37760598,12.2235804
2021-06-06 17:00:00 || Modern Political Thought: 23 || General Non-Productive: 4 || Photography: 8 ||,3.443726969,-1.711171403
2021-06-06 18:00:00 || Modern Political Thought: 28 || General Non-Productive: 1 ||,-3.719244801,0.109469284
2021-06-06 19:00:00 || Photography: 15 || OS: 30 ||,7.318433405,5.750627642
2021-06-06 20:00:00 || Visualization: 15 || Social: 70 || OS: 3 ||,-1.091624569,49.83844174
2021-07-06 00:00:00 || Netflix: 29 ||,-14.7094886,-17.41849915
2021-07-06 01:00:00 ||,-3.33359672,-0.090519982
2021-07-06 10:00:00 || General Non-Productive: 10 || Photography: 11 || Netflix: 15 ||,0.237224524,-11.29904668
2021-07-06 11:00:00 || Modern Political Thought: 6 || Food: 60 || General Non-Productive: 13 || OS: 6 || Netflix: 8 ||,-10.92825854,-1.321905578
2021-07-06 13:00:00 || General Non-Productive: 18 || Photography: 8 || OS: 19 ||,1.093221196,4.632284059
2021-07-06 14:00:00 || General Non-Productive: 4 || Photography: 11 || OS: 15 || Netflix: 21 ||,-3.280446168,-10.40205628
2021-07-06 15:00:00 || Modern Political Thought: 60 ||,-4.040230612,0.280272498
2021-07-06 16:00:00 || Modern Political Thought: 13 || Photography: 27 ||,21.02538282,-6.43631593
2021-07-06 17:00:00 || Social: 60 || OS: 7 ||,-2.77972465,43.77680089
2021-07-06 18:00:00 || General Non-Productive: 10 || Listening to Music: 2 || OS: 30 ||,-6.848578025,9.805940327
2021-07-06 19:00:00 || General Non-Productive: 2 || Listening to Music: 1 || OS: 50 ||,-8.392385656,15.72332437
2021-07-06 20:00:00 || General Non-Productive: 3 || OS: 56 ||,-9.030640978,17.58335011
2021-07-06 21:00:00 || General Non-Productive: 26 || Photography: 3 || OS: 22 ||,-4.168540201,7.058598787
2021-07-06 22:00:00 || General Non-Productive: 31 || Photography: 17 || OS: 10 ||,9.462665496,0.150692527
2021-07-06 23:00:00 || General Non-Productive: 30 || OS: 20 ||,-6.907281358,7.292999464
2021-08-06 00:00:00 || General Non-Productive: 21 || Netflix: 30 ||,-16.21897959,-17.23824196
2021-08-06 10:00:00 || General Non-Productive: 6 || OS: 28 ||,-6.421522889,8.913080863
2021-08-06 11:00:00 || General Non-Productive: 2 || OS: 48 ||,-8.186376999,15.03734762
2021-08-06 12:00:00 || General Non-Productive: 2 || OS: 56 ||,-8.97744008,17.54631327
2021-08-06 13:00:00 || Photography: 19 || OS: 6 ||,13.32322709,-2.727595601
2021-08-06 14:00:00 || Photography: 42 || OS: 14 ||,33.41388958,-5.688756092
2021-08-06 15:00:00 || Social: 60 || OS: 3 ||,-2.378440182,42.54392678
2021-08-06 17:00:00 || Visualization: 17 || General Non-Productive: 10 || Photography: 10 || OS: 1 ||,6.332114813,-1.409511069
2021-08-06 18:00:00 || Visualization: 26 || General Non-Productive: 14 || Photography: 13 ||,9.586505118,-2.089772095
2021-08-06 19:00:00 || Visualization: 21 || General Non-Productive: 28 ||,-3.319137281,1.410161359
2021-08-06 20:00:00 || General Non-Productive: 3 || Photography: 12 || Cleaning: 15 || Listening to Music: 1 ||,7.34782887,-2.795518757
2021-08-06 21:00:00 || General Non-Productive: 13 || Photography: 24 || Listening to Music: 1 ||,17.7561754,-5.25826339
2021-08-06 22:00:00 || Food: 28 || General Non-Productive: 8 || Photography: 4 || Social: 27 || Netflix: 7 ||,-3.764878365,14.34137233
2021-08-06 23:00:00 || General Non-Productive: 16 || Photography: 1 || Watching Movies: 13 ||,-3.554370728,0.263933357
2021-09-06 00:00:00 || General Non-Productive: 12 ||,-3.972007494,0.353922144
2021-09-06 10:00:00 || General Non-Productive: 1 || Photography: 11 || OS: 4 ||,6.204583072,-1.415147598
2021-09-06 11:00:00 || General Non-Productive: 33 || OS: 12 ||,-6.27582097,4.895144343
2021-09-06 12:00:00 || General Non-Productive: 2 || Social: 8 || OS: 18 ||,-5.054517202,11.18210872
2021-09-06 13:00:00 || General Non-Productive: 1 || OS: 58 ||,-9.122004952,18.13651784
2021-09-06 14:00:00 || General Non-Productive: 19 || OS: 22 ||,-6.519837251,7.512835594
2021-09-06 15:00:00 || General Non-Productive: 9 || Social: 20 || Listening to Music: 1 || OS: 43 ||,-7.659178634,27.67069307
2021-09-06 16:00:00 || OS: 10 ||,-4.322425571,3.045687083
2021-09-06 17:00:00 || Listening to Music: 1 || OS: 53 ||,-8.582632516,16.5901128
2021-09-06 18:00:00 || OS: 60 ||,-9.260816897,18.74833113
2021-09-06 19:00:00 || General Non-Productive: 1 || Social: 60 || OS: 28 ||,-4.897960278,50.44309001
2021-09-06 23:00:00 || General Non-Productive: 1 || Netflix: 53 ||,-24.17722071,-31.72185886
2021-10-06 00:00:00 || Netflix: 42 ||,-19.80902634,-25.18621395
2021-10-06 01:00:00 || Netflix: 55 ||,-24.90856408,-32.95392875
2021-10-06 10:00:00 || General Non-Productive: 58 ||,-6.419248796,2.057616961
2021-10-06 11:00:00 || General Non-Productive: 11 || Photography: 2 || OS: 20 || Computational Models etc: 1 ||,-4.081895863,6.114740037
2021-10-06 12:00:00 || Visualization: 2 || General Non-Productive: 10 || OS: 12 || Computational Models etc: 6 || Guitar: 21 ||,-5.030018659,4.144701822
2021-10-06 13:00:00 || General Non-Productive: 15 || Listening to Music: 7 || OS: 4 || Computational Models etc: 4 ||,-4.58977709,2.135077861
2021-10-06 14:00:00 || General Non-Productive: 2 || Photography: 60 ||,51.03982112,-14.26473186
2021-10-06 15:00:00 || Food: 43 || General Non-Productive: 10 ||,-6.091636878,1.088976794
2021-10-06 16:00:00 || Netflix: 2 ||,-4.118140988,-1.285553029
2021-10-06 17:00:00 || General Non-Productive: 9 || Guitar: 1 ||,-3.817817265,0.24522234
2021-10-06 18:00:00 || General Non-Productive: 1 || Photography: 47 || Netflix: 3 ||,38.10773824,-13.02411657
2021-10-06 19:00:00 || Photography: 59 || Netflix: 3 ||,49.05575247,-15.91513227
2021-10-06 20:00:00 || General Non-Productive: 5 || Netflix: 33 ||,-16.54458163,-19.62338103
2021-10-06 22:00:00 || Social: 60 || Netflix: 11 ||,-6.39103207,35.05199163
2021-11-06 01:00:00 || Photography: 17 || Netflix: 28 ||,1.117102434,-20.86411934
2021-11-06 02:00:00 ||,-3.33359672,-0.090519982
2021-11-06 10:00:00 || Netflix: 15 ||,-9.217678727,-9.053267829
2021-11-06 11:00:00 || General Non-Productive: 3 || Social: 60 || Netflix: 13 ||,-7.329426103,33.98967783
2021-11-06 16:00:00 || General Non-Productive: 60 || Photography: 15 ||,7.110124869,-1.37095677
2021-11-06 20:00:00 || General Non-Productive: 20 || Photography: 32 ||,24.6552209,-6.960393392
2021-11-06 21:00:00 || Photography: 6 ||,2.113809951,-1.517509411
2021-12-06 01:00:00 || General Non-Productive: 6 || Photography: 11 ||,6.334110123,-2.484446205
2021-12-06 02:00:00 || Netflix: 20 ||,-11.1790394,-12.04085044
2021-12-06 03:00:00 || Netflix: 60 ||,-26.86417182,-35.91990265
2021-12-06 04:00:00 || Netflix: 1 ||,-3.725868854,-0.688036505
2021-12-06 10:00:00 || General Non-Productive: 1 ||,-3.386797618,-0.053483138
2021-12-06 11:00:00 || Guitar: 27 ||,-3.479733267,-0.025430343
2021-12-06 14:00:00 || Netflix: 58 ||,-26.08538048,-34.74647832
2021-12-06 15:00:00 || General Non-Productive: 6 || Netflix: 2 ||,-4.437346375,-1.063331965
2021-12-06 16:00:00 || General Non-Productive: 1 || Watching Movies: 46 || Listening to Music: 1 ||,-4.376824711,0.004174417
2021-12-06 17:00:00 || Visualization: 3 || General Non-Productive: 14 || Nintendo Switch: 25 ||,-4.177008185,0.475405243
2021-12-06 18:00:00 || General Non-Productive: 34 || Watching Movies: 5 || Netflix: 3 || Nintendo Switch: 60 ||,-7.172529885,-0.647508322
2021-12-06 19:00:00 || General Non-Productive: 1 ||,-3.386797618,-0.053483138
2021-12-06 20:00:00 || General Non-Productive: 1 || Guitar: 8 ||,-3.430097336,-0.034197319
2021-12-06 21:00:00 || General Non-Productive: 6 || Watching Movies: 9 ||,-3.844890321,0.13149021
2021-12-06 23:00:00 ||,-3.33359672,-0.090519982
2021-06-13 04:00:00 || Photography: 1 || Cinemtography Studies: 5 ||,-2.465073869,-0.323783144
2021-06-13 05:00:00 || General Non-Productive: 10 || Cinemtography Studies: 43 ||,-4.204258744,0.319136781
2021-06-13 12:00:00 || General Non-Productive: 8 ||,-3.759203903,0.205774768
2021-06-13 13:00:00 || Visualization: 16 || General Non-Productive: 2 || Social: 16 || OS: 2 ||,-2.161048593,12.07081663
2021-06-13 14:00:00 || Visualization: 20 || Photography: 7 || Script Development: 8 ||,4.460150161,-1.303665781
2021-06-13 15:00:00 || Visualization: 33 || General Non-Productive: 2 || Social: 15 || Script Development: 5 ||,-0.762626204,11.13105294
2021-06-13 16:00:00 || Visualization: 57 || General Non-Productive: 1 ||,0.695717668,1.204994656
2021-06-13 17:00:00 || Visualization: 37 || Photography: 2 ||,1.132259286,0.250723513
2021-06-13 18:00:00 ||,-3.33359672,-0.090519982
2021-06-13 20:00:00 || General Non-Productive: 11 || Listening to Music: 1 || Cinemtography Studies: 13 ||,-4.029432962,0.387498503
2021-06-13 21:00:00 || General Non-Productive: 16 || Photography: 5 || Listening to Music: 5 || Cinemtography Studies: 11 || Daydreaming: 60 ||,0.254044127,-0.402186529
2021-06-13 23:00:00 || General Non-Productive: 7 || Netflix: 60 ||,-27.23082518,-35.63903603
2021-06-14 02:00:00 || General Non-Productive: 32 || Cinemtography Studies: 18 ||,-5.177787191,1.111105296
2021-06-14 03:00:00 || General Non-Productive: 54 ||,-6.206445205,1.909469585
2021-06-14 04:00:00 || General Non-Productive: 13 ||,-4.025208392,0.390958988
2021-06-14 11:00:00 || General Non-Productive: 12 ||,-3.972007494,0.353922144
2021-06-14 12:00:00 || General Non-Productive: 15 ||,-4.131610188,0.465032675
2021-06-14 16:00:00 || General Non-Productive: 10 ||,-3.865605699,0.279848456
2021-06-14 17:00:00 || General Non-Productive: 4 ||,-3.546400311,0.057627393
2021-06-14 18:00:00 || General Non-Productive: 17 || Listening to Music: 13 ||,-4.345169512,1.302665749
2021-06-14 19:00:00 || General Non-Productive: 2 || Listening to Music: 12 || OS: 5 ||,-4.033327582,2.256481287
2021-06-14 20:00:00 || Food: 60 || OS: 1 ||,-6.527063766,1.395334446
2021-06-14 22:00:00 || Netflix: 42 ||,-19.80902634,-25.18621395
2021-06-14 23:00:00 || General Non-Productive: 5 || Netflix: 35 ||,-17.32912589,-20.81841407
2021-06-15 00:00:00 || Netflix: 60 ||,-26.86417182,-35.91990265
2021-06-15 01:00:00 || Netflix: 40 ||,-19.02448207,-23.99118091
2021-06-15 11:00:00 || General Non-Productive: 14 ||,-4.07840929,0.427995832
2021-06-15 12:00:00 || General Non-Productive: 50 ||,-5.993641613,1.76132221
2021-06-15 13:00:00 || General Non-Productive: 21 || Social: 60 || Listening to Music: 32 ||,-3.462782759,44.26036918
2021-06-15 16:00:00 || General Non-Productive: 4 || Netflix: 47 ||,-21.9831906,-28.02564919
2021-06-15 17:00:00 || General Non-Productive: 2 || Netflix: 60 ||,-26.97057362,-35.84582896
2021-06-15 18:00:00 || Visualization: 30 ||,-1.184904464,0.571836752
2021-06-15 19:00:00 || Visualization: 29 || General Non-Productive: 1 || Listening to Music: 28 ||,-1.540529267,2.231384485
2021-06-15 20:00:00 || General Non-Productive: 3 || Social: 60 || Listening to Music: 12 || Netflix: 2 ||,-3.113347273,41.26718363
2021-06-16 00:00:00 || Netflix: 9 ||,-6.864045924,-5.46816869
2021-06-16 10:00:00 || General Non-Productive: 60 || Netflix: 5 ||,-8.481258333,-0.834283249
2021-06-16 11:00:00 || General Non-Productive: 6 ||,-3.652802107,0.131701081
2021-06-16 12:00:00 || Visualization: 14 || General Non-Productive: 17 ||,-3.235288931,0.848206172